,train,test
1,0.428030303030303,0.493506493506494
2,0.429924242424242,0.493506493506494
3,0.431818181818182,0.493506493506494
4,0.4375,0.493506493506494
5,0.424242424242424,0.493506493506494
6,0.439393939393939,0.493506493506494
7,0.454545454545455,0.494588744588745
8,0.456439393939394,0.493549783549784
9,0.454545454545455,0.492424242424242
10,0.426136363636364,0.485930735930736
11,0.428030303030303,0.489177489177489
12,0.431818181818182,0.486147186147186
13,0.458333333333333,0.489177489177489
14,0.424242424242424,0.484848484848485
15,0.418560606060606,0.489177489177489
16,0.431818181818182,0.483766233766234
17,0.422348484848485,0.487012987012987
18,0.429924242424242,0.484848484848485
19,0.429924242424242,0.482683982683983
20,0.418560606060606,0.48538961038961
21,0.422348484848485,0.480519480519481
22,0.418560606060606,0.484848484848485
23,0.435606060606061,0.482683982683983
24,0.418560606060606,0.483405483405483
25,0.429924242424242,0.483982683982684
26,0.40719696969697,0.487012987012987
27,0.410984848484849,0.487012987012987
28,0.422348484848485,0.484307359307359
29,0.422348484848485,0.487012987012987
30,0.435606060606061,0.487012987012987
31,0.409090909090909,0.484848484848485
32,0.454545454545455,0.484848484848485
33,0.4375,0.484848484848485
34,0.422348484848485,0.482251082251082
35,0.412878787878788,0.484848484848485
36,0.410984848484849,0.484848484848485
37,0.424242424242424,0.484848484848485
38,0.416666666666667,0.484848484848485
39,0.412878787878788,0.484848484848485
40,0.426136363636364,0.483920841063698
41,0.418560606060606,0.483405483405483
42,0.410984848484849,0.483920841063698
43,0.40719696969697,0.483116883116883
44,0.40719696969697,0.482683982683983
45,0.403409090909091,0.482683982683983
46,0.429924242424242,0.482683982683983
47,0.409090909090909,0.479437229437229
48,0.40719696969697,0.47979797979798
49,0.416666666666667,0.478354978354978
50,0.395833333333333,0.477633477633478
51,0.40530303030303,0.477272727272727
52,0.40719696969697,0.481818181818182
53,0.412878787878788,0.479076479076479
54,0.403409090909091,0.482683982683983
55,0.426136363636364,0.47979797979798
56,0.40719696969697,0.47979797979798
57,0.401515151515151,0.484848484848485
58,0.401515151515151,0.487012987012987
59,0.414772727272727,0.484848484848485
60,0.424242424242424,0.480519480519481
61,0.422348484848485,0.490620490620491
62,0.412878787878788,0.497835497835498
63,0.395833333333333,0.497835497835498
64,0.393939393939394,0.5
65,0.399621212121212,0.482683982683983
66,0.40719696969697,0.496907854050711
67,0.412878787878788,0.48989898989899
68,0.392045454545455,0.505411255411255
69,0.397727272727273,0.504329004329004
70,0.409090909090909,0.505411255411255
71,0.392045454545455,0.497835497835498
72,0.386363636363636,0.504329004329004
73,0.401515151515151,0.504329004329004
74,0.393939393939394,0.504329004329004
75,0.393939393939394,0.502164502164502
76,0.401515151515151,0.501443001443001
77,0.414772727272727,0.491341991341991
78,0.397727272727273,0.512987012987013
79,0.412878787878788,0.515151515151515
80,0.392045454545455,0.511904761904762
81,0.388257575757576,0.488713667285096
82,0.393939393939394,0.5
83,0.399621212121212,0.519480519480519
84,0.390151515151515,0.502164502164502
85,0.395833333333333,0.53030303030303
86,0.395833333333333,0.508658008658009
87,0.40530303030303,0.535714285714286
88,0.390151515151515,0.547619047619048
89,0.40530303030303,0.519480519480519
90,0.384469696969697,0.547619047619048
91,0.382575757575758,0.503607503607504
92,0.373106060606061,0.543290043290043
93,0.384469696969697,0.547619047619048
94,0.378787878787879,0.545454545454545
95,0.395833333333333,0.543290043290043
96,0.382575757575758,0.54978354978355
97,0.376893939393939,0.54978354978355
98,0.386363636363636,0.525974025974026
99,0.373106060606061,0.54978354978355
100,0.367424242424242,0.556277056277056
101,NA,NA
